mask_rcnn_X-101-64x4d-FPN;cascade_mask_rcnn_X-101-64x4d-FPN;hybrid_task_cascade_mask_rcnn_X-101-64x4d-FPN;gcnet_X-101-FPN_DCN_Cascade_Mask_GC(c3-c5,r4);scnet_X-101-64x4d-FPN;mask_rcnn_r50_fpn_carafe_1x_coco;cascade_mask_rcnn_x101_32x4d_fpn_dconv_c3-c5_1x_coco;mask_rcnn_r101_fpn_gn-all_3x_coco;mask_rcnn_r101_fpn_gn_ws-all_20_23_24e_coco;detectors_htc_r101_20e_coco;tp%;tp_s%;tp_m%;tp_l%;tp_2%;tp_2_s%;tp_2_m%;tp_2_l%;fp%;fp_s%;fp_m%;fp_l%;fp_2%;fp_2_s%;fp_2_m%;fp_2_l%;tn%;tn_s%;tn_m%;tn_l%;tn_2%;tn_2_s%;tn_2_m%;tn_2_l%;fn%;fn_s%;fn_m%;fn_l%;fn_2%;fn_2_s%;fn_2_m%;fn_2_l%;p_1_full;p_1_correct;p_2_full;p_2_correct;r_1_full;r_1_correct;r_2_full;r_2_correct;f1_1_full;f1_1_correct;f1_2_full;f1_2_correct;cg;cg%;cg_s;cg_s%;cg_m;cg_m%;cg_l;cg_l%;ig;ig%;ig_s;ig_s%;ig_m;ig_m%;ig_l;ig_l%;ng;ng%;ng_s;ng_s%;ng_m;ng_m%;ng_l;ng_l%
1;0;0;0;0;0;2;0;0;3;0.48224;0.65143;0.54285;0.48150;0.46380;nan;0.50104;0.46342;0.04404;0.13937;0.09135;0.04348;0.04968;nan;0.11331;0.04903;0.42127;0.18063;0.27742;0.42294;0.43571;nan;0.30185;0.43706;0.05245;0.02857;0.08838;0.05208;0.05081;nan;0.08380;0.05048;0.64543;0.91719;0.63604;0.90385;0.63305;0.89960;0.63300;0.89953;0.63669;0.90478;0.63141;0.89728;8215;0.70370;5;0.02646;86;0.33333;8124;0.72361;897;0.07684;3;0.01587;32;0.12403;862;0.07678;2562;0.21946;181;0.95767;140;0.54264;2241;0.19961
0;1;2;0;0;0;3;0;0;0;0.48191;0.67624;0.52981;0.48127;0.46349;0.46891;0.49827;0.46315;0.04440;0.13511;0.08855;0.04387;0.05038;0.27981;0.10507;0.04979;0.42065;0.14026;0.28390;0.42231;0.43479;0.17564;0.30138;0.43616;0.05303;0.04839;0.09774;0.05255;0.05134;0.07564;0.09528;0.05091;0.64544;0.91637;0.63574;0.90259;0.63301;0.89873;0.63296;0.89865;0.63667;0.90391;0.63119;0.89614;8200;0.70435;5;0.02660;88;0.33977;8107;0.72416;865;0.07430;2;0.01064;30;0.11583;833;0.07441;2577;0.22135;181;0.96277;141;0.54440;2255;0.20143
0;1;2;0;0;0;0;0;0;3;0.48282;0.63259;0.52809;0.48222;0.46421;nan;0.49154;0.46392;0.04352;0.18222;0.08872;0.04292;0.04950;nan;0.10688;0.04890;0.42137;0.16537;0.28438;0.42308;0.43573;nan;0.30719;0.43708;0.05229;0.01981;0.09881;0.05178;0.05056;nan;0.09439;0.05010;0.64994;0.91807;0.64013;0.90421;0.63732;0.90024;0.63726;0.90015;0.64115;0.90564;0.63562;0.89784;8232;0.70795;5;0.02674;92;0.35385;8135;0.72757;851;0.07319;1;0.00535;30;0.11538;820;0.07334;2545;0.21887;181;0.96791;138;0.53077;2226;0.19909
0;1;0;0;0;0;2;0;0;3;0.48236;0.64286;0.53394;0.48169;0.46406;0.42500;0.50257;0.46368;0.04397;0.14114;0.08505;0.04346;0.04968;0.17500;0.10457;0.04913;0.42105;0.17553;0.28531;0.42267;0.43533;0.30000;0.30085;0.43666;0.05263;0.04048;0.09570;0.05218;0.05093;0.10000;0.09201;0.05052;0.64548;0.91723;0.63606;0.90384;0.63294;0.89941;0.63289;0.89933;0.63671;0.90476;0.63143;0.89726;8190;0.70373;6;0.03191;86;0.33205;8098;0.72362;861;0.07398;2;0.01064;32;0.12355;827;0.07390;2587;0.22229;180;0.95745;141;0.54440;2266;0.20248
0;0;1;0;0;0;2;0;0;3;0.48356;0.60278;0.53184;0.48292;0.46535;nan;0.49919;0.46499;0.04395;0.19889;0.09002;0.04332;0.04969;nan;0.10992;0.04904;0.42064;0.19333;0.28222;0.42239;0.43477;nan;0.29993;0.43622;0.05185;0.00500;0.09592;0.05137;0.05019;nan;0.09096;0.04975;0.64397;0.91758;0.63460;0.90423;0.63244;0.90116;0.63239;0.90108;0.63574;0.90586;0.63050;0.89840;8174;0.70181;5;0.02660;94;0.36015;8075;0.72111;870;0.07470;2;0.01064;29;0.11111;839;0.07492;2603;0.22349;181;0.96277;138;0.52874;2284;0.20396
1;2;3;0;0;0;4;0;0;0;0.48468;0.68388;0.53647;0.48390;0.46401;0.53884;0.50140;0.46359;0.04824;0.14650;0.09601;0.04760;0.05483;0.21092;0.11499;0.05415;0.41709;0.12400;0.27649;0.41898;0.43296;0.17913;0.29715;0.43447;0.04999;0.04562;0.09104;0.04951;0.04820;0.07111;0.08646;0.04780;0.64623;0.91029;0.63541;0.89504;0.64198;0.90430;0.64193;0.90422;0.64153;0.90366;0.63537;0.89498;8463;0.70992;7;0.03723;98;0.35125;8358;0.72970;1144;0.09597;2;0.01064;42;0.15054;1100;0.09604;2314;0.19411;179;0.95213;139;0.49821;1996;0.17426
1;2;3;0;0;0;0;0;0;4;0.48491;0.64388;0.53450;0.48417;0.46426;0.70370;0.49717;0.46385;0.04754;0.16523;0.09175;0.04690;0.05404;0.14815;0.11202;0.05338;0.41773;0.14785;0.27820;0.41965;0.43370;0.11111;0.30142;0.43524;0.04982;0.04304;0.09555;0.04928;0.04800;0.03704;0.08940;0.04753;0.64817;0.91147;0.63741;0.89634;0.64339;0.90475;0.64333;0.90467;0.64323;0.90452;0.63713;0.89595;8483;0.71112;8;0.04255;100;0.35211;8375;0.73099;1152;0.09657;2;0.01064;47;0.16549;1103;0.09627;2294;0.19230;178;0.94681;137;0.48239;1979;0.17273
1;2;0;0;0;0;3;0;0;4;0.48479;0.65789;0.53891;0.48396;0.46415;0.55185;0.50053;0.46372;0.04807;0.15273;0.10072;0.04732;0.05450;0.12407;0.12360;0.05371;0.41719;0.14936;0.27247;0.41923;0.43320;0.24306;0.29255;0.43482;0.04994;0.04003;0.08790;0.04948;0.04816;0.08102;0.08333;0.04775;0.64707;0.91062;0.63638;0.89558;0.64263;0.90437;0.64257;0.90429;0.64228;0.90387;0.63621;0.89534;8468;0.71058;8;0.04233;103;0.37319;8357;0.72974;1140;0.09566;3;0.01587;38;0.13768;1099;0.09597;2309;0.19376;178;0.94180;135;0.48913;1996;0.17429
1;0;2;0;0;0;3;0;0;4;0.48591;0.60767;0.53850;0.48517;0.46531;nan;0.49619;0.46495;0.04810;0.17169;0.09983;0.04737;0.05453;nan;0.12102;0.05376;0.41700;0.19683;0.27420;0.41894;0.43294;nan;0.30034;0.43447;0.04899;0.02381;0.08747;0.04853;0.04723;nan;0.08245;0.04682;0.65011;0.91080;0.63936;0.89574;0.64689;0.90630;0.64684;0.90622;0.64594;0.90496;0.63983;0.89640;8444;0.71378;6;0.03175;104;0.37681;8334;0.73330;1053;0.08901;3;0.01587;38;0.13768;1012;0.08905;2333;0.19721;180;0.95238;134;0.48551;2019;0.17765
0;1;2;0;0;0;3;0;0;4;0.48591;0.61729;0.53475;0.48521;0.46558;0.42500;0.49934;0.46520;0.04770;0.17217;0.08982;0.04709;0.05407;0.17500;0.11193;0.05340;0.41719;0.18656;0.28324;0.41900;0.43291;0.30000;0.30262;0.43441;0.04920;0.02398;0.09219;0.04870;0.04744;0.10000;0.08611;0.04699;0.64668;0.91138;0.63612;0.89650;0.64295;0.90612;0.64289;0.90604;0.64230;0.90520;0.63632;0.89678;8392;0.70956;7;0.03723;100;0.36900;8285;0.72880;1050;0.08878;2;0.01064;35;0.12915;1013;0.08911;2385;0.20166;179;0.95213;136;0.50185;2070;0.18209
1;2;3;0;0;0;4;0;0;5;0.48140;0.65119;0.52805;0.48082;0.46357;0.40000;0.49763;0.46325;0.04300;0.13810;0.08729;0.04247;0.04859;0.10000;0.10088;0.04809;0.42252;0.15982;0.28891;0.42409;0.43646;0.37500;0.30864;0.43768;0.05308;0.05089;0.09575;0.05262;0.05138;0.12500;0.09285;0.05098;0.65329;0.91858;0.64396;0.90546;0.63895;0.89842;0.63890;0.89834;0.64355;0.90488;0.63835;0.89757;8257;0.71120;4;0.02139;88;0.33846;8165;0.73143;833;0.07175;1;0.00535;32;0.12308;800;0.07167;2520;0.21705;182;0.97326;140;0.53846;2198;0.19690
