mask_rcnn_X-101-64x4d-FPN;cascade_mask_rcnn_X-101-64x4d-FPN;hybrid_task_cascade_mask_rcnn_X-101-64x4d-FPN;gcnet_X-101-FPN_DCN_Cascade_Mask_GC(c3-c5,r4);scnet_X-101-64x4d-FPN;bbox_ap;mask_ap;tp;tp%;tp_2;tp_2%;fp;fp%;fp_2;fp_2%;tn;tn%;tn_2;tn_2%;fn;fn%;fn_2;fn_2%;correct_guesses;correct_guesses%;incorrect_guesses;incorrect_guesses%;not_guessed;not_guessed%;
1;0;0;2;3;0.599;0.511;110180260;0.49013;110185280;0.47053;12128472;0.05395;14795209;0.06318;95324905;0.42404;102022482;0.43567;7165747;0.03188;7168219;0.03061;10461;0.13989;63774;0.85284;543;0.00726;
0;1;2;3;0;0.611;0.517;110171368;0.48945;110176516;0.47204;11654799;0.05178;14061338;0.06024;96089691;0.42689;101986452;0.43695;7176673;0.03188;7178765;0.03076;10504;0.13395;67413;0.85967;500;0.00638;
0;1;2;0;3;0.609;0.520;110302398;0.48899;110307436;0.47058;11544274;0.05118;13973816;0.05961;96500449;0.42780;102899116;0.43897;7225791;0.03203;7227633;0.03083;10537;0.10937;85339;0.88578;467;0.00485;
0;1;0;2;3;0.603;0.513;110216752;0.48934;110221676;0.47040;11899404;0.05283;14544907;0.06207;95912147;0.42583;102337963;0.43675;7207996;0.03200;7210028;0.03077;10464;0.14134;63031;0.85137;540;0.00729;
0;0;1;2;3;0.608;0.518;110517867;0.49078;110523166;0.47294;11363717;0.05046;13666285;0.05848;96358191;0.42790;102558207;0.43885;6946464;0.03085;6948510;0.02973;10534;0.10967;85047;0.88544;470;0.00489;
1;2;3;4;0;0.610;0.513;110450924;0.49118;110456216;0.47285;12616765;0.05611;15152924;0.06487;94929107;0.42215;101111535;0.43285;6871767;0.03056;6873975;0.02943;10519;0.13003;69892;0.86397;485;0.00600;
1;2;3;0;4;0.608;0.516;110561578;0.49054;110566844;0.47166;12502945;0.05547;15048308;0.06419;95383525;0.42320;101864018;0.43454;6939025;0.03079;6941319;0.02961;10544;0.10734;87229;0.88798;460;0.00468;
1;2;0;3;4;0.604;0.509;110504916;0.49113;110510139;0.47134;12841991;0.05707;15630436;0.06667;94794866;0.42131;101454610;0.43272;6860586;0.03049;6863098;0.02927;10481;0.13723;65369;0.85592;523;0.00685;
1;0;2;3;4;0.609;0.515;110793668;0.49200;110798821;0.47345;12606671;0.05598;15092278;0.06449;95099799;0.42231;101439050;0.43346;6690776;0.02971;6692941;0.02860;10550;0.10724;87371;0.88814;454;0.00461;
0;1;2;3;4;0.611;0.516;110832220;0.49169;110837550;0.47326;12401031;0.05502;14889705;0.06358;95517903;0.42375;101811347;0.43472;6658916;0.02954;6660917;0.02844;10550;0.10795;86725;0.88740;454;0.00465;
1;2;3;4;5;0.608;0.525;109077579;0.48657;109082417;0.46932;10440386;0.04657;12788913;0.05502;96757541;0.43161;102649880;0.44165;7902547;0.03525;7904805;0.03401;10394;0.19230;43047;0.79641;610;0.01129;
